2016-12-02 19:29:25,568 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,609 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,651 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2327,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,753 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,778 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,828 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,861 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,901 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,936 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,970 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:25,995 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,027 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,069 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,102 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,127 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2332,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,161 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,226 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,277 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,326 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,369 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,429 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,468 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,518 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,559 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,651 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,692 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2012 [main] (ReportWordCount.java:49)
